0RPM	0RPM	0RPM	100RPM	100RPM	100RPM	400RPM	400RPM	400RPM	900RPM	900RPM	900RPM	1600RPM	1600RPM	1600RPM	2500RPM	2500RPM	2500RPM
0.495605	7.63245E-7	1.52649E-7	0.495605	3.63739E-6	9.65881E-7	0.495605	3.64929E-6	9.42993E-7	0.495605	5.67932E-6	1.99921E-6	0.495605	8.27942E-6	2.89673E-6	0.495605	8.87756E-6	2.72217E-6
0.493164	7.48901E-7	3.92456E-7	0.493164	4.09454E-6	1.56586E-6	0.493164	4.32068E-6	1.63879E-6	0.493164	5.63965E-6	1.64978E-6	0.493164	7.56836E-6	2.25403E-6	0.493164	9.24072E-6	3.41675E-6
0.490723	5.78918E-7	9.99756E-8	0.490723	3.47717E-6	9.58557E-7	0.490723	3.5141E-6	1.00952E-6	0.490723	5.77393E-6	2.12341E-6	0.490723	8.20007E-6	2.87354E-6	0.490723	8.69446E-6	2.69592E-6
0.488281	7.08923E-7	4.32129E-7	0.488281	4.07471E-6	1.52954E-6	0.488281	4.24713E-6	1.55762E-6	0.488281	5.3772E-6	1.55731E-6	0.488281	7.50122E-6	2.37946E-6	0.488281	9.25903E-6	3.3902E-6
0.48584	4.23584E-7	9.76868E-8	0.48584	3.36151E-6	9.85718E-7	0.48584	3.48175E-6	1.12732E-6	0.48584	5.85327E-6	2.19635E-6	0.48584	8.13904E-6	2.71698E-6	0.48584	8.56018E-6	2.72675E-6
0.483398	6.90002E-7	4.22668E-7	0.483398	4.01276E-6	1.47675E-6	0.483398	4.13757E-6	1.41876E-6	0.483398	5.27039E-6	1.47736E-6	0.483398	7.55615E-6	2.51007E-6	0.483398	9.25598E-6	3.3316E-6
0.480957	3.25928E-7	1.07819E-7	0.480957	3.36487E-6	1.11481E-6	0.480957	3.53058E-6	1.27533E-6	0.480957	5.88074E-6	2.21313E-6	0.480957	8.01392E-6	2.55005E-6	0.480957	8.49609E-6	2.84546E-6
0.478516	6.69556E-7	3.86047E-7	0.478516	3.88214E-6	1.32782E-6	0.478516	3.95477E-6	1.24176E-6	0.478516	5.13916E-6	1.51337E-6	0.478516	7.63855E-6	2.6416E-6	0.478516	9.23462E-6	3.21869E-6
0.476074	2.33154E-7	1.55853E-7	0.476074	3.38409E-6	1.2851E-6	0.476074	3.65601E-6	1.42944E-6	0.476074	5.896E-6	2.13837E-6	0.476074	7.8125E-6	2.43866E-6	0.476074	8.46252E-6	2.97363E-6
0.473633	5.72815E-7	3.25623E-7	0.473633	3.7265E-6	1.17676E-6	0.473633	3.72864E-6	1.10291E-6	0.473633	5.09949E-6	1.64948E-6	0.473633	7.80029E-6	2.76062E-6	0.473633	9.03625E-6	3.07098E-6
0.471191	2.14539E-7	2.1875E-7	0.471191	3.50037E-6	1.39984E-6	0.471191	3.79761E-6	1.5567E-6	0.471191	5.80444E-6	1.9928E-6	0.471191	7.61108E-6	2.35168E-6	0.471191	8.5144E-6	3.10638E-6
0.46875	4.6875E-7	2.69928E-7	0.46875	3.50128E-6	1.06506E-6	0.46875	3.508E-6	9.8877E-7	0.46875	5.13611E-6	1.81122E-6	0.46875	7.85522E-6	2.86041E-6	0.46875	8.77075E-6	2.9126E-6
0.466309	2.63062E-7	2.61414E-7	0.466309	3.63892E-6	1.49658E-6	0.466309	3.88306E-6	1.63879E-6	0.466309	5.67932E-6	1.82495E-6	0.466309	7.43103E-6	2.24548E-6	0.466309	8.6853E-6	3.26202E-6
0.463867	3.38745E-7	2.17834E-7	0.463867	3.31879E-6	9.96704E-7	0.463867	3.35968E-6	9.552E-7	0.463867	5.24902E-6	1.94977E-6	0.463867	7.84607E-6	2.91168E-6	0.463867	8.59985E-6	2.79907E-6
0.461426	2.72217E-7	3.50952E-7	0.461426	3.68652E-6	1.55151E-6	0.461426	3.93372E-6	1.67725E-6	0.461426	5.43823E-6	1.71295E-6	0.461426	7.27234E-6	2.2699E-6	0.461426	8.7677E-6	3.40607E-6
0.458984	1.828E-7	1.43036E-7	0.458984	3.19092E-6	9.552E-7	0.458984	3.24066E-6	9.71985E-7	0.458984	5.41382E-6	2.10114E-6	0.458984	7.86438E-6	2.89825E-6	0.458984	8.29773E-6	2.73132E-6
0.456543	2.56958E-7	3.97949E-7	0.456543	3.70636E-6	1.55823E-6	0.456543	3.94257E-6	1.63544E-6	0.456543	5.2124E-6	1.59576E-6	0.456543	7.17468E-6	2.30743E-6	0.456543	8.7616E-6	3.44025E-6
0.454102	9.39941E-8	8.79211E-8	0.454102	3.09113E-6	9.71985E-7	0.454102	3.1723E-6	1.05469E-6	0.454102	5.48706E-6	2.18719E-6	0.454102	7.86438E-6	2.79266E-6	0.454102	8.17261E-6	2.73438E-6
0.45166	2.69775E-7	4.29382E-7	0.45166	3.71704E-6	1.55029E-6	0.45166	3.90289E-6	1.52344E-6	0.45166	5.02014E-6	1.54053E-6	0.45166	7.18384E-6	2.50366E-6	0.45166	8.84705E-6	3.35266E-6
