Potential;Current
-0.84747;1.24725e-4
-0.84717;1.24023e-4
-0.84564;1.23535e-4
-0.84412;1.22772e-4
-0.84381;1.22131e-4
-0.84229;1.21429e-4
-0.84137;1.21002e-4
-0.84015;1.20361e-4
-0.83984;1.19995e-4
-0.83862;1.19415e-4
-0.8371;1.19019e-4
-0.83618;1.18652e-4
-0.83527;1.18225e-4
-0.83374;1.1795e-4
-0.83282;1.17462e-4
-0.8316;1.17035e-4
-0.8313;1.16913e-4
-0.82977;1.16699e-4
-0.82886;1.16394e-4
-0.82733;1.15997e-4
-0.82642;1.15784e-4
-0.8255;1.15509e-4
-0.82428;1.15417e-4
-0.82336;1.15265e-4
-0.82245;1.15021e-4
-0.82123;1.14777e-4
-0.8197;1.14807e-4
-0.81848;1.14716e-4
-0.81818;1.14563e-4
-0.81665;1.1441e-4
-0.81604;1.14227e-4
-0.81512;1.1441e-4
-0.8136;1.1438e-4
-0.81268;1.14197e-4
-0.81116;1.14258e-4
-0.81024;1.14136e-4
-0.80933;1.14227e-4
-0.80841;1.14288e-4
-0.8075;1.14136e-4
-0.80627;1.14136e-4
-0.80536;1.14105e-4
-0.80353;1.14288e-4
-0.80322;1.14349e-4
-0.8017;1.14319e-4
-0.80048;1.14288e-4
-0.79956;1.14319e-4
-0.79834;1.14594e-4
-0.79742;1.14716e-4
-0.79651;1.14716e-4
-0.79529;1.14777e-4
-0.79407;1.14838e-4
-0.79376;1.15051e-4
-0.79193;1.15265e-4
-0.79132;1.15295e-4
-0.78949;1.15387e-4
-0.78918;1.15448e-4
-0.78766;1.15814e-4
-0.78674;1.15967e-4
-0.78583;1.15967e-4
-0.78491;1.16211e-4
-0.78339;1.16394e-4
-0.78217;1.16608e-4
-0.78156;1.16791e-4
-0.78033;1.16943e-4
-0.77972;1.17249e-4
-0.7785;1.17493e-4
-0.77728;1.17889e-4
-0.77606;1.18103e-4
-0.77545;1.18195e-4
-0.77423;1.18439e-4
-0.77332;1.18927e-4
-0.7724;1.19141e-4
-0.77087;1.19598e-4
-0.76996;1.1972e-4
-0.76843;1.20026e-4
-0.76721;1.20453e-4
-0.76691;1.2085e-4
-0.76508;1.21277e-4
-0.76447;1.2146e-4
-0.76355;1.21857e-4
-0.76233;1.22345e-4
-0.76172;1.22833e-4
-0.76019;1.23352e-4
-0.75928;1.23596e-4
-0.75775;1.24146e-4
-0.75684;1.24634e-4
-0.75623;1.25061e-4
-0.75531;1.25702e-4
-0.75348;1.2616e-4
-0.75226;1.26709e-4
-0.75165;1.27411e-4
-0.75104;1.28052e-4
-0.74915;1.28632e-4
-0.74805;1.2915e-4
-0.74698;1.297e-4
-0.74591;1.30493e-4
-0.74484;1.31165e-4
-0.74377;1.31927e-4
-0.74274;1.32507e-4
-0.74164;1.3324e-4
-0.74057;1.34155e-4
-0.7395;1.34857e-4
-0.73846;1.35681e-4
-0.73737;1.36383e-4
-0.73633;1.37238e-4
-0.73526;1.38123e-4
-0.73419;1.39038e-4
-0.73315;1.39923e-4
-0.73203;1.40808e-4
-0.73093;1.41693e-4
-0.72989;1.42731e-4
-0.72879;1.43707e-4
-0.72778;1.44684e-4
-0.72672;1.45569e-4
-0.72568;1.46698e-4
-0.72458;1.47766e-4
-0.72354;1.48865e-4
-0.72238;1.49872e-4
-0.72141;1.51062e-4
-0.72031;1.52161e-4
-0.71924;1.53534e-4
-0.7182;1.54724e-4
-0.7171;1.55853e-4
