Potential;Current
-0.84778;1.69586e-4
-0.84595;1.67694e-4
-0.84595;1.64642e-4
-0.84473;1.716e-4
-0.84351;1.73248e-4
-0.84229;1.69739e-4
-0.84106;1.67542e-4
-0.83984;1.64764e-4
-0.83923;1.73401e-4
-0.83832;1.73309e-4
-0.8371;1.69922e-4
-0.83618;1.67236e-4
-0.83527;1.66199e-4
-0.83344;1.75079e-4
-0.83252;1.73218e-4
-0.83191;1.70227e-4
-0.83099;1.67511e-4
-0.82977;1.67816e-4
-0.82855;1.76666e-4
-0.82764;1.73096e-4
-0.82581;1.71051e-4
-0.8255;1.67694e-4
-0.82428;1.69586e-4
-0.82397;1.7746e-4
-0.82184;1.73035e-4
-0.82153;1.71234e-4
-0.8194;1.67725e-4
-0.81818;1.72791e-4
-0.81818;1.78162e-4
-0.81604;1.73981e-4
-0.81512;1.72302e-4
-0.81482;1.68915e-4
-0.81329;1.75293e-4
-0.81238;1.78772e-4
-0.81116;1.74469e-4
-0.81024;1.73065e-4
-0.80933;1.70807e-4
-0.80841;1.78467e-4
-0.80719;1.79443e-4
-0.80566;1.76117e-4
-0.80505;1.73737e-4
-0.80444;1.72241e-4
-0.80261;1.81061e-4
-0.8017;1.80542e-4
-0.80017;1.7746e-4
-0.80017;1.75079e-4
-0.79834;1.75018e-4
-0.79773;1.84052e-4
-0.79651;1.81519e-4
-0.7962;1.79138e-4
-0.79407;1.76361e-4
-0.79346;1.77826e-4
-0.79224;1.86584e-4
-0.79132;1.83014e-4
-0.79071;1.81122e-4
-0.78918;1.77887e-4
-0.78827;1.81915e-4
-0.78674;1.88416e-4
-0.78552;1.84052e-4
-0.78491;1.82892e-4
-0.784;1.79688e-4
-0.78217;1.85608e-4
-0.78125;1.90063e-4
-0.78064;1.85974e-4
-0.77942;1.84631e-4
-0.77911;1.82037e-4
-0.77759;1.89484e-4
-0.77606;1.91528e-4
-0.77515;1.8808e-4
-0.77393;1.86127e-4
-0.77301;1.8399e-4
-0.77179;1.92719e-4
-0.77057;1.9278e-4
-0.76965;1.89423e-4
-0.76874;1.87317e-4
-0.76782;1.86523e-4
-0.76721;1.95679e-4
-0.76569;1.93848e-4
-0.76385;1.91254e-4
-0.76294;1.8869e-4
-0.76233;1.8927e-4
-0.76111;1.98364e-4
-0.75989;1.94794e-4
-0.75897;1.92871e-4
-0.75836;1.89667e-4
-0.75623;1.92596e-4
-0.75623;2.00348e-4
-0.755;1.95831e-4
-0.75409;1.94275e-4
-0.75256;1.90552e-4
-0.75134;1.95984e-4
-0.75012;2.01324e-4
-0.74942;1.96838e-4
-0.74829;1.95251e-4
-0.74707;1.92261e-4
-0.74576;1.98608e-4
-0.74484;2.01874e-4
-0.74374;1.9751e-4
-0.74301;1.95679e-4
-0.74185;1.93176e-4
-0.74063;2.0108e-4
-0.73944;2.02026e-4
-0.73856;1.98547e-4
-0.73743;1.96106e-4
-0.73663;1.94763e-4
-0.73529;2.03766e-4
-0.73419;2.02576e-4
-0.73288;1.98944e-4
-0.7319;1.96747e-4
-0.73083;1.96472e-4
-0.73001;2.05414e-4
-0.72906;2.02728e-4
-0.72772;2.00378e-4
-0.72672;1.97174e-4
-0.72568;1.98395e-4
-0.72488;2.07092e-4
-0.7236;2.02881e-4
-0.72247;2.00958e-4
-0.72125;1.97418e-4
-0.72028;2.01385e-4
-0.71933;2.07672e-4
-0.71808;2.02881e-4
-0.71729;2.01294e-4
-0.71588;1.97906e-4
-0.71475;2.03888e-4
-0.71384;2.07855e-4
-0.7131;2.03583e-4
-0.71222;2.01935e-4
-0.71088;1.99066e-4
-0.70953;2.06573e-4
-0.70847;2.08374e-4
-0.70749;2.04376e-4
-0.7066;2.02423e-4
-0.70529;2.00348e-4
-0.70425;2.09076e-4
-0.70319;2.08801e-4
-0.70209;2.05383e-4
-0.70099;2.0343e-4
-0.70023;2.02393e-4
-0.69919;2.1167e-4
-0.69794;2.09625e-4
-0.69687;2.06848e-4
-0.69586;2.04437e-4
-0.69489;2.05048e-4
-0.69357;2.14294e-4
-0.69281;2.10724e-4
