Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs
800,026123	3,908209328E-4	800,026123	0,003504774999	800,026123	0,005097154528	800,026123	0,006267502904	800,026123	0,005666592158	800,026123	0,003503209213	800,026123	0,00279291952	800,026123	0,004027002957
799,0542603	5,576828262E-4	799,0542603	0,00365122268	799,0542603	0,004932597745	799,0542603	0,006325704046	799,0542603	0,005346831866	799,0542603	0,003810567781	799,0542603	0,00370554952	799,0542603	0,003689728444
797,9431152	6,240670336E-4	797,9431152	0,00341008394	797,9431152	0,004809954204	797,9431152	0,006227349862	797,9431152	0,004695300013	797,9431152	0,002612383803	797,9431152	0,003060331568	797,9431152	0,00341937202
796,97052	4,902721266E-4	796,97052	0,00321940775	796,97052	0,004706420936	796,97052	0,006267528981	796,97052	0,004546564072	796,97052	0,003418302396	796,97052	0,002903267974	796,97052	0,003973785322
795,9974976	5,324641243E-4	795,9974976	0,003862511832	795,9974976	0,005110014696	795,9974976	0,006722682156	795,9974976	0,005210735835	795,9974976	0,003497964004	795,9974976	0,003268646775	795,9974976	0,004380646627
795,0241089	4,856851592E-4	795,0241089	0,003487656591	795,0241089	0,004687292967	795,0241089	0,006090347655	795,0241089	0,004958701786	795,0241089	0,003137163585	795,0241089	0,003258083947	795,0241089	0,003399856854
794,050293	6,837203982E-4	794,050293	0,003446115647	794,050293	0,004734081682	794,050293	0,006500301417	794,050293	0,004666883033	794,050293	0,003530975897	794,050293	0,002947649686	794,050293	0,003831877373
792,9370117	1,371396211E-4	792,9370117	0,00334689836	792,9370117	0,004852070473	792,9370117	0,005978058092	792,9370117	0,00481340941	792,9370117	0,00366751221	792,9370117	0,003255397547	792,9370117	0,003320447868
791,9624023	2,827409189E-4	791,9624023	0,003693279112	791,9624023	0,004725419451	791,9624023	0,006417197175	791,9624023	0,004816733301	791,9624023	0,00374552235	791,9624023	0,00337449857	791,9624023	0,003849740606
790,9874878	7,650342886E-4	790,9874878	0,00430759415	790,9874878	0,005806241184	790,9874878	0,007150285877	790,9874878	0,005533908959	790,9874878	0,004250238184	790,9874878	0,003861649893	790,9874878	0,004247179721
